,name,ean,price,discount,brand
0,CAT S62 Pro - 128GB - Zwart,5060472352163,509.0,0.0,Cat
1,CAT S60 - 32GB - Zwart,4251281601233,297.0,0.0,Cat
2,Imac Easy Cat - Kattenbak - Grijs -  50 x 40 x 40 cm,8021799407131,20.99,0.0,Imac
3,CablExpert PP6-5M - FTP Cat6 - 5 m - grijs,8716309045407,4.95,0.0,Gembird
4,Internetkabel 15 meter - CAT6 UTP kabel RJ45 - Grijs,8720256876069,17.99,0.0,ValeDelucs
5,Miele Complete C3 Cat & Dog - Stofzuiger met zak,4002516067528,226.27,0.0,Miele
6,Philips Performer Active Cat & Dog FC8578/09 - Stofzuiger met zak,8710103762522,130.0,0.0,Philips
7,ACT CAT6 U/UTP netwerkkabel 1 meter - Zwart,8716065130287,5.0,0.0,ACT
8,Netwerk Tester - Compleet - Set in etui- RJ45/RJ12/RJ11/Cat5/Cat5e/Cat6/UTP/LAN - Kabeltester Met Krimptang & LSA tang,8720299328600,24.45,0.0,NiceGoodz
9,Netwerkkabel verlengstukje (RJ45) cat 5 UTP koppelstuk,7091021030490,1.14,0.0,Merkloos
10,Trixie Cat Activity Fun Bord  - Kattenspeelgoed - Grijs - 40 x 30 cm,4011905045900,18.5,26.0,Trixie
11,"Weenect CATS² , GPS Tracker voor katten",3770000300109,50.5,0.0,Weenect
12,15 meter LAN / Netwerkkabel / Internet kabel / UTP Kabel / CAT5E,7091137622756,8.95,0.0,Merkloos
13,ACT CAT6 U/UTP netwerkkabel 3 meter - Zwart,8716065130300,6.77,0.0,ACT
14,Cat's Best Oko Plus Korrels - Kattenbakvulling - 40 l,4002973213094,27.0,0.0,Cat's Best
15,Cat-It Senses 2.0 Flower - Drinkfontein Kat - Wit/Groen - 3 L,0022517437421,29.99,0.0,Catit
16,Cablexpert RJ45 krimp connectoren met doorsteekmontage voor U/UTP CAT6 netwerkkabel - 10 stuks,8716309096447,3.81,0.0,Cablexpert
17,Elektrisch Kattenspeeltje - Elektrische Vis - Kattenspeelgoed - Elektrisch visspeeltje - Bewegende Vis - Automatisch kattenspeeltje - Interactieve speeltjes - Poes - Cat toy - Fish toy - USB Oplaadbaar - 30cm,8719327167472,9.75,50.0,Merkloos
18,Internetkabel - 8 Meter - Blauw - Blue - CAT5E Ethernet Kabel - RJ45 UTP Kabel Met Snelheid tot 1000Mbps - Netwerk Kabel Van Hoge Kwaliteit,8719979857301,8.95,0.0,Merkloos
19,ACT CAT6 U/UTP netwerkkabel 2 meter - Zwart,8716065130294,4.95,0.0,ACT
20,Catmate C500 - Voerautomaat - Automatisch - Wit,0035368003653,59.99,37.0,Cat Mate
21,Internetkabel 10 meter - CAT6 UTP kabel RJ45 - Grijs,8720256876076,16.99,0.0,ValeDelucs
22,20 meter LAN / Netwerkkabel / Internet kabel / UTP Kabel / CAT5E,7091132613681,9.89,0.0,Merkloos
23,UTP kabel 50 meter - CAT 6 - Internetkabel - Ethernet kabel – Netwerkkabel,8719327455142,29.95,0.0,Epixo
24,Bruder 02445 – Cat® Graafmachine op Wielen - Werkvoertuig,4001702024451,33.68,0.0,Bruder
25,Cat Workwear sokken   -  maat: 41  - 45   -  15 paar,7448139097073,35.0,0.0,Caterpillar
26,Miele Complete C3 Cat&Dog - Stofzuiger met zak,4002515824573,239.0,17.0,Miele
27,Make That The Cat Wise verjaardagskalender,8712048303662,12.7,0.0,Inter-Stat
28,CablExpert PP6-10M - FTP Cat6 - 10 m - grijs,8716309045421,6.95,0.0,Gembird
29,"Imac Easy Cat - Roze - Kattenbak - 40,5 x 50 x 41 cm",8021799403447,18.99,0.0,Imac
30,My Universe: Cats & Dogs Pet Clinic - Switch,3760156486406,37.99,0.0,Mindscape
31,Kong Cat Naturals Premium Catnip - Kattenkruid - Kattenspeelgoed - 57 gr,0035585450162,10.99,0.0,KONG
32,"JMS RJ45 EZ Type Krimp Connector Met Doorsteekmontage Voor CAT5, CAT5e en CAT6 UTP Netwerkkabel. - 10 stuks",8719322501516,4.99,0.0,JMS
33,Kattenbakmat - Grit Opvanger - 45 x 60 - Waterdicht - Kattenmat Met Filter - Kattenbak Accessoires - Kat Benodigheden - Cat Litter Mat - Dubbele Laag,8719326493671,24.9,0.0,Merkloos
34,CablExpert PP6-15M - FTP Cat6 - 15 m - grijs,8716309045438,8.95,0.0,Gembird
35,Mood knuffel | fidget toys | emotie knuffel | cat rainbow,8720289865030,7.95,0.0,Merkloos
36,Professionele Digitale Multimeter Inclusief Stroomkabels en Batterij - CAT 1 | Elektra Meetapparatuur | Spanningsmeter | Multimeters | Meetkabels,7434003733796,9.69,0.0,Barkleydeal
37,Miele Blizzard CX1 Cat & Dog PowerLine -  Stofzuiger zonder zak - Herfstrood,4002515824481,299.99,0.0,Miele
