,name,price
0,FELIX Nourriture Chat Terrine 3 Viandes 400 g,1.01
1,Catmilk Whiskas - Lait pour Chat 200 ml,1.05
2,Carrefour Pâtée au Poulet 400 g,0.5
3,Aliment Chat Whiskas Boîtes Terrine Poulet 400 g,1.19
4,Carrefour Bio Tagliatelle aux Œufs 250 g,1.99
5,Carrefour Pâtée au Bœuf 400 g,0.5
6,Chocolatissimo,9.5
7,Carrefour Pâtée au Saumon 400 g,0.5
8,Reflets de France Pâté de Campagne Breton 180 g,1.49
9,Reflets de France Pâté au Piment d'Espelette Recette Basque 180 g,1.89
10,Carrefour Cake Quatre Quart 500 g,3.29
11,Zwan Pâté de Foie 3 x 43 g,3.39
12,Jacqmotte Café Grains Dessert Delice 500 g,7.19
13,Zwan Crème de Foie 3 x 43 g,3.39
14,Carrefour Pâtée à la Dinde 400 g,0.5
15,Jacqmotte Café Grains Espresso 500 g,7.79
16,JACQMOTTE Café Grains  Moka Absolu 500g,7.35
17,DOUWE EGBERTS Café Grains Dessert 500 g,6.99
18,DOUWE EGBERTS Café Grains Moka Royal 500 g,6.99
19,Rombouts Italian Style Café Espresso Grains 500 g,7.35
20,Carrefour Café en Grains Espresso Corsé & Puissant 1 kg,7.99
21,Carrefour Café en Grains Moka Puissant 500 g,4.19
22,Gourmet Gold Aliment Chat Mousseline Thon 85 g,0.74
23,Gourmet Gold Aliment Chat Mousseline Poulet 85 g,0.74
24,DOUWE EGBERTS Café Grains Moka Royal 500 g,6.99
25,Aliment Chat Whiskas Boîtes en Sauce au Poulet 400 g,1.09
26,Aliment Chat Whiskas Boîtes en Sauce au Bœuf 400 g,1.09
27,Gourmet Gold Aliment Chat Noisettes 12 x 85 g,7.09
28,illy Espresso Café en Grains Torréfaction Moyenne 250 g,6.99
29,"Gourmet Multi Serve Chat Sauce au Boeuf, au Foie et aux Légumes 195 g",0.99
30,Boerinneke Bio sans Lactose & Gluten Pâte à Tartiner Base de Riz 350 g,5.24
31,Gourmet Gold Aliment Chat Double Délice 12 x 85 g,7.28
32,FELIX Nourriture Chat Terrine en Gelée Saumon et Truite 400 g,1.05
33,Gourmet Gold Aliment Chat Les Timbales Viande 12 x 85 g,7.44
34,FELIX Nourriture Chat Terrine en Gelée Boeuf et Volaille 400 g,1.05
35,Gourmet Multi Serve Chat Petits Dés au Saumon et À la Truite 195 g,0.99
36,Gourmet Multi Serve Chat Petits Dés au Poulet et À la Dinde 195 g,0.99
37,FELIX Nourriture Chat Terrine en Sauce Poulet en Foie 400 g,1.03
38,FELIX Nourriture Chat Terrine en Gelée Poulet-Dinde-Gibier 400 g,0.95
39,Carrefour Bouchées en Sauce au Poulet et au Canard 400 g,0.49
40,Carrefour Bouchées en Gelée à l'Agneau et au Foie 400 g,0.49
41,Carrefour Assortiment Mousses 4 x 85 g,1.75
42,Carrefour Bouchées en Sauce au Bœuf et au Foie 400 g,0.49
43,Pâte Feuilletée 230 g,0.69
44,Carrefour Pâtes Torsade 500 g,0.45
45,Carrefour Pâtes Macaroni 500 g,0.45
46,Carrefour Pâtes Coquillette 500 g,0.99
47,HERTA Pâte Feuilletée 230g,2.73
48,Barilla Pâtes Fusilli 500 g,1.89
49,Barilla Pâtes Capellini 500 g,1.4
50,Barilla Pâtes Farfalle 500 g,1.81
51,Barilla Pâtes Bucatini n.9 500 g,1.79
52,Barilla Pâtes Tortiglioni 500 g,1.84
53,Nestlé Café BONJOUR Boîte 400 g,6.39
54,Carrefour Pâtes Penne Rigate 500 g,0.55
55,Carrefour Pâtes Pipe Rigate 500 g,0.99
56,Simpl Chicorée-Café Soluble 200 g,1.69
57,NESTLÉ Café RICORÉ Boîte 100 g,3.41
58,NESTLÉ Café RICORÉ Boîte 250 g,5.24
59,Carrefour Pâte Feuilletée au Beurre 230 g,1.35
60,Simpl Café Soluble Corsé 200 g,2.99
61,Nescafé Café SELECT Bocal 50 g,2.69
62,Nescafé Café SELECT Bocal 200 g,5.99
63,Barilla Pâtes Collezione Linguine 500 g,1.77
64,Barilla Pâtes Spaghettoni nr.7 500 g,1.4
65,Barilla Pâtes Penne Rigate 500 g,1.47
66,Barilla Pâtes Spaghetti nr.5 500 g,1.4
67,Barilla Pâtes Collezione Trofie 500 g,2.19
68,Charles Liégeois Puissant Café Moulu 250 g,3.48
69,NESCAFÉ Café CARAMEL LATTE Sachets 136 g,2.99
70,NESCAFÉ Café CAPPUCCINO Standard Bocal 250 g,5.85
71,Carrefour Classic' Chicorée Café au Lait 400 g,4.49
